complex.connection-incidence	complex	(d_A φ)_e = g_e φ(t e) − φ(s e);  Σ_walk d_A φ = T_walk φ(b) − φ(a)	the connection-valued incidence; its covariant difference telescopes along any walk	edge transports g_e ∈ 𝕜ˣ	L:Holon/Complex:connectionIncidence; L:Holon/Complex:walkRead_connection; R:holonics::geometry::complex::ConnectionIncidence	formal-checked	
tube.stationarity-not-cancellation	tube	a coincident kept face has a zero Jacobian row: every torque is zero yet a second-order edit moves the face by exactly t²	first-order stationarity is necessary and not sufficient for cancellation	witness	L:Transport/EditRigidity:stationarity_is_not_cancellation; L:Transport/EditRigidity:the_coincident_face_has_a_zero_row	counterexample	obstructs:tube.edit-torque
tube.knot-implication-ascends	tube, key	ImpliedBy is monotone in the region (ascending); points 0,1,2 with consecutive separations kept: the outer pair is implied at the whole region, not at the subregion	a knot's induced implication ascends and does not descend to subregions	line-chain witness	L:Transport/EditRigidity:impliedBy_mono; L:Transport/EditRigidity:induced_implication_does_not_descend; L:Transport/EditRigidity:ambient_knot_is_downward_closed	counterexample	
tube.fold-reflection	tube, swing	reflect x = x − 2σ(x) n/⟨n,n⟩ (no square root): involution, fixes the crease, preserves squared distance;  fold = id on σ ≥ 0, reflect on σ < 0	a fold is the hyperplane reflection applied to one side of a crease	crease with exact rational normal	L:Transport/Fold:reflect_involutive; L:Transport/Fold:reflect_eq_self_of_side_zero; L:Transport/Fold:reflect_distSq; L:Transport/Fold:fold; D:docs/ELEMENTARY_OBJECTS.md#6-tube-and-tower	formal-checked	uses:swing.half-turn
tube.fold-piecewise-isometry	tube	same side: d²(fold x, fold y) = d²(x,y);  opposite sides: defect 4σ(x)σ(y)/⟨n,n⟩, a strict decrease	the fold is a piecewise isometry and not an isometry: each half stays rigid and the halves move together	ℚ^d	L:Transport/Fold:fold_distSq_same_side; L:Transport/Fold:fold_distSq_opposite_side; L:Transport/Fold:fold_brings_the_two_sides_together	formal-checked	uses:tube.fold-reflection
tube.fold-residual-bit	tube, compression, tower	fibre of fold through x = {x, reflect x} (two-to-one off the crease); foldTransition residual = one side bit; k folds: 2ᵏ layers; residual injective on each fibre	reversibility is the residual: one bit reopens a fold, and a residual is at least as large as the largest fibre (a cut needs the whole gluing pattern)		L:Transport/Fold:fold_fibre; L:Transport/Fold:foldTransition_residual; L:Transport/Fold:sideWord_card; L:Transport/Fold:k_folds_branch_dyadically; L:Transport/Fold:residual_injective_on_fibre	formal-checked	uses:tower.continuing-transition
tube.bounce	tube	side affine along a segment, crossing located exactly; folded straight segment = reflected path; tangential direction fixed, normal negated	a bounce is the fold read in the trajectory; equal angles need no angle	ℚ^d	L:Transport/Fold:bounce_direction; L:Transport/Fold:linReflect_fixes_tangential; L:Transport/Fold:linReflect_normal; L:Transport/Fold:crossing_side_eq_zero	formal-checked	uses:tube.fold-reflection
tube.kawasaki-maekawa	tube, swing, cycle	R_v ∘ R_u = rot(v ū) (Gaussian rationals, no angle); flat-foldable ⇔ Im ∏(d_(2k) d̄_(2k−1)) = 0 (Kawasaki); M − V = ±2 ⇔ M = n ± 1 (Maekawa, all 16 degree-four assignments)	rotation is two reflections exactly over ℚ; Kawasaki's condition is one rational equation, Maekawa an integer count	degree-2n vertex	L:Transport/Fold:lineReflect_comp_eq_rotBy; L:Transport/Fold:kawasaki_iff; L:Transport/Fold:plusVertexIsFlatFoldable; L:Transport/Fold:skewVertexIsNotFlatFoldable; L:Transport/Fold:maekawa_iff_mountain_count; L:Transport/Fold:maekawa_degree_four	formal-checked	uses:swing.compose-translation
tube.shear-not-fold	tube, swing	nonzero shear changes a squared distance near every point at every scale ⇒ no isometry is a shear;  inversion: exact d² law, preserves the cross ratio	a shear deforms rather than folds; inversion is the third of the triple	ℚ²	L:Transport/Fold:no_isometry_is_a_shear; L:Transport/Fold:shear_changes_a_squared_distance_at_every_point_and_scale; L:Transport/Fold:inversion_preserves_cross_ratio; L:Transport/Fold:inversion_distSq	counterexample	obstructs:tube.fold-reflection
tube.fold-preserves-homology	tube, complex	a cellular relabelling commuting with ∂ preserves every rank and Betti number; an edge on one closed side keeps its exact length	a fold preserves homology and intrinsic length; a cut does not	finite chain complex	L:Transport/Fold:fold_preserves_betti; L:Transport/Fold:fold_preserves_intrinsic_length; L:Transport/Fold:no_relabelling_when_the_rank_moves	formal-checked	
tube.fold-catastrophe	tube, constitution	V_a(x) = x³/3 − a x: equilibrium ⇔ a ≥ 0, two for a > 0, stable at +√a, unstable at −√a;  crease: held ⇔ load ≤ κ u₀²	unfolding at a tolerance is the fold catastrophe; the held crease disappears at an exact threshold	real a	L:Transport/Fold:foldEquilibria_iff; L:Transport/Fold:foldEquilibria_two_of_pos; L:Transport/Fold:positiveRoot_is_stable; L:Transport/Fold:negativeRoot_is_unstable; L:Transport/Fold:held_equilibrium_iff_load_le_threshold	formal-checked	
tube.lever-arm	tube, parametron	rational rotation (cos, sin) = ((1 − t²)/(1 + t²), 2t/(1 + t²)) orthogonal; displacement² of a point at distance ℓ from the crease ∝ ℓ²	the offset grows linearly with distance from the crease, with no square root	t ∈ ℚ	L:Transport/Fold:displacementSq_scales_with_lever; L:Transport/Fold:rationalRotation_orthogonal; L:Transport/Fold:displacementSq_eq	formal-checked	uses:chain.cayley-z-chart
tube.backbone-linkage	tube, navigator	fixed-bond planar chain of r residues: internal DOF = 2(r − 1); cos²(dihedral) = rational in [0,1] by Lagrange's identity; pivots preserve squared lengths and fix the axis	a protein backbone is rigid origami of a one-dimensional linkage; the dihedral needs no angle	exact rational coordinates	L:Transport/Fold:backbone_internal_dof; L:Transport/Fold:lagrange_identity; L:Transport/Fold:dihedralCosSq_le_one; L:Transport/Fold:pivot_preserves_squared_lengths	formal-checked	
tube.two-axis-square	tube, tower	longitudinal transport ∘ restrict = restrict ∘ longitudinal transport (Migration.naturality with identity index map); ChartwiseMigration = Migration that stays at its chart	a tube is a tower stretched along a longitudinal axis; its two axes are joined by exactly one commuting law	preorder-indexed family of towers	L:Transport/ContinuingTube:square; L:Transport/ContinuingTube:toMigration_staysAtItsChart; L:Transport/ContinuingTube:ofStationaryMigration_toMigration_face; L:Transport/ContinuingTube:square_is_genuine_content	formal-checked	uses:tower.migration
tube.square-verdict	tube, tower, contact	SquareVerdict ∈ {commutes, defect}, total; the grain square fails: the contact receiver does not commute with the grain selection (301 vs 1,397 Inside on the M5 deposit), and the defect is not a loss	where the two-axis square fails, the failure is returned whole as content	declared tube	L:Transport/ContinuingTube:squareVerdict_total; L:Transport/ContinuingTube:grainSquare_fails; L:Transport/ContinuingTube:grainSquare_defect_is_not_a_loss; R:holonics::holon::restriction::tube::SquareVerdict	formal-checked	uses:tube.two-axis-square
tube.wormhole	tube, tower	Wormhole = passage between stations connecting incomparable charts; a tube's own passages (transport, refinement route) never are; swapWormhole over two charts with no common refinement is one; lossiness is independent of being a wormhole (all four cells inhabited)	a wormhole is exact: a founded passage where the tube's order relates nothing, with traversability decided by the residual	two-chart index	L:Transport/ContinuingTube:transport_is_not_a_wormhole; L:Transport/ContinuingTube:refinementRoute_is_not_a_wormhole; L:Transport/ContinuingTube:swapWormhole; L:Transport/ContinuingTube:lossiness_is_independent_of_being_a_wormhole; R:holonics::holon::restriction::tube::wormhole_receipt	formal-checked	uses:tower.migration-incomparable
tube.circuit-no-defect	tube, complex, cycle	functorial tube: transport round trip = id; tube circuit has no defect; a declared circuit's defect is the atlas cocycle defect (holonomy, not loss); flip circuit has a defect and carries no invariant end	neither axis of a functorial tube carries holonomy; holonomy lives in declared circuits, and non-orientability is a flip circuit with no invariant end	functorial tube	L:Transport/ContinuingTube:transport_roundTrip; L:Transport/ContinuingTube:tube_circuit_has_no_defect; L:Transport/ContinuingTube:circuit_defect_is_holonomy_not_loss; L:Transport/ContinuingTube:flipCircuit_hasDefect; L:Transport/ContinuingTube:flipCircuit_carries_no_invariant_end; R:holonics::holon::restriction::tube::check_circuit_holonomy	formal-checked	uses:receipt.atlas-cocycle-defect
tube.padic-tube	tube, tower	padicTube end ≃ ℤ_p; cross-section branches p-adically: p^k refinements, p per adjacent step	the p-adic tube: a tower stretched along stations whose cross-section branches p-adically	prime p	L:Transport/ContinuingTube:padicTube_end_equiv; L:Transport/ContinuingTube:padicTube_crossSection_branching; L:Transport/ContinuingTube:padicTube_adjacent_branching	formal-checked	uses:tower.padic-plural
tube.flat-near-curved-far	tube, complex, receiver	cycle tube: short circuit no defect, long circuit defect; ladder: square commutes below, fails at the top; the fine observer sees at one step what the coarse sees at three; a poorer receiver reads the defect flat	curvature is a function of distance and of the observer's grain: flat near, curved far	declared tubes	L:Transport/ContinuingTube:flat_near_curved_far; L:Transport/ContinuingTube:cycleLongCircuit_hasDefect; L:Transport/ContinuingTube:the_fine_observer_sees_at_one_step_what_the_coarse_one_sees_at_three; L:Transport/ContinuingTube:a_poorer_receiver_reads_the_defect_flat	formal-checked	uses:tube.circuit-no-defect
tube.cross-rank-passages	tube, tower	descending chain is the tube's own; a rising step needs the retained residual; three kinds of cross-rank passage	passing between ranks: down is restriction, up requires the residual	ladder tower	L:Transport/ContinuingTube:descending_chain_is_the_tubes_own; L:Transport/ContinuingTube:rising_step_needs_the_retained_residual; L:Transport/ContinuingTube:the_three_kinds_of_cross_rank_passage	formal-checked	uses:tower.reverse-passage-is-residual
tube.clocked-span	tube, aeon, epoch	ClockedSpan: occurrences, both boundaries, exact local-clock face, receiver face, obstruction; comp = pullback join; split/rejoin preserves the complete face; a missing joining equality is an open gap with no joined occurrence; equal clock coordinate does not identify the clock address	the longitudinal axis is the clocked span: resegmenting a world-line changes only its presentation	addressed spans	L:Transport/WorldTube:split_rejoin_preserves_completeFace; L:Transport/WorldTube:resegmentation_natural; L:Transport/WorldTube:openGap_has_no_joined_occurrence; L:Transport/WorldTube:equal_coordinate_does_not_identify_clock_address	formal-checked	uses:holon.lineage-addressed-passage
tube.world-tube-lawful-silence	tube, globe, receiver	IsLawfulSilence(s) ⇔ s ≠ 0 ∧ radiation(s) = 0 (s in the outward radical); nonradical sections must radiate; first-coordinate outward receiver admits a nonzero silent interior	a nonzero interior section in the kernel of the outward restriction radiates nothing while conducting inside: dead to this receiver, alive inside	WorldTube outward receiver	L:Transport/WorldTube:lawfulSilence_iff_nonzero_and_radiation_zero; L:Transport/WorldTube:nonradical_must_radiate; L:Transport/WorldTube:nonzero_interior_section_can_lie_in_outward_radical; L:Transport/WorldTube:finite_nonradical_section_cannot_be_silent	formal-checked	
tube.cultivated-rest	tube, deposition, compression	returned difference = world consequence and later return; cultivatedRest − rest = causal adjoint of it; the cultivated rest descends through every finite ordered successor word	the world return changes the one continuing rest through its causal adjoint, and the rest remains a history compression	WorldTube	L:Transport/WorldTube:cultivatedRest_sub_rest; L:Transport/WorldTube:cultivatedRest_descends_every_finite_successor_word; L:Transport/WorldTube:returnedDifference	formal-checked	uses:compression.history-compression
tube.resegmentation-associator	tube, aeon	split/rejoin equivalence and three-way associator are natural for source, target, clock, face, obstruction and receiver; history outcomes rebase along them; boundary-scale images compose	clocked world-tube resegmentation is an equivalence on the complete face, with no inverse or singleton fibre introduced		L:Transport/WorldTubePotential:splitRejoin_completeFace; L:Transport/WorldTubePotential:associator_completeFace_natural; L:Transport/WorldTubePotential:associator_historyOutcomes_rebase; L:Transport/WorldTubePotential:boundaryScale_comp_boundary_image_natural	formal-checked	uses:tube.clocked-span
tube.junction-pullback	tube, holon, holarchy	AddressedPassage.Join = exactly the compatible pairs; no shared boundary ⇒ empty join; valence-2 station is serial, valence ≥ 3 is a junction	the joint of two charts is the pullback of their occurrence populations		L:Transport/JunctionLaw:join_is_exactly_the_compatible_pairs; L:Transport/JunctionLaw:noSharedBoundary_isEmpty_join; L:Transport/JunctionLaw:serial_station_is_not_a_junction; L:Transport/JunctionLaw:trivalent_station_is_a_junction	formal-checked	uses:holon.lineage-addressed-passage
tube.junction-tangential-agreement	tube, coholon	[[ι*u]] = 0 ⇔ two side fields descend to one field on the union; a nonzero jump prevents descent	the tangential half of the junction law: continuity of the pullback is being one cochain on the glued complex	WeightedComplex	L:Transport/JunctionLaw:glues_iff_agree; L:Transport/JunctionLaw:descend_restricts_left; L:Transport/JunctionLaw:no_descent_of_nonzero_jump	formal-checked	
tube.junction-normal-balance	tube, holon, deposition	[[n·flux]] = normal jump = δ₀ f;  Balanced ⇔ δ₀ f = σ ⇔ residual 0	the normal half of the junction law: the flux jump across the joint is the source that lives on it	any interface side split	L:Transport/JunctionLaw:normalJump_eq_divergence; L:Transport/JunctionLaw:balanced_iff_divergence; L:Transport/JunctionLaw:balanced_iff_residual_zero	formal-checked	
tube.junction-gauss-tellegen	tube, holon, coholon	⟨1_A, δ₀f⟩_(W₀) = ⟨d₀1_A, f⟩_(W₁) (discrete Gauss); interior cells carry no boundary flux; δ∘δ = 0 ⇒ interface sources close at vertices; a nonclosing source admits no interface flux	discrete Gauss and Tellegen are the junction's energy ledger; the codimension-2 obstruction is returned, not repaired	WeightedComplex	L:Transport/JunctionLaw:discrete_gauss; L:Transport/JunctionLaw:tellegen; L:Transport/JunctionLaw:codiff_comp_zero; L:Transport/JunctionLaw:vertex_closure; L:Transport/JunctionLaw:no_interface_flux_for_a_nonclosing_source	formal-checked	instance-of:holon.tellegen
tube.junction-euler-cost	tube, complex, holarchy	χ(A ∪ B) + χ(A ∩ B) = χ(A) + χ(B); χ(A ∩ B) = 0 ⇒ χ(A ∪ B) = χ(A) + χ(B); n pieces of χ = −1 glued along zero ⇒ χ = −n	each junction costs one unit of Euler characteristic	finite cell sets	L:Transport/JunctionLaw:chi_union_add_inter; L:Transport/JunctionLaw:chi_glue_along_zero; L:Transport/JunctionLaw:each_junction_costs_one_euler	formal-checked	
tube.orientation-bit	tube, cycle, holon	consistent signs ⇒ closed dual walk holonomy 1; a circuit of k reflections has determinant (−1)ᵏ = −1 ⇔ k odd	orientability is a ℤ/2 holonomy, the parity face of a winding (w₁ is its mod-2 reduction)		L:Transport/JunctionLaw:walkHolonomy_telescopes; L:Transport/JunctionLaw:closed_walk_holonomy_one; L:Transport/JunctionLaw:orientation_reversing_iff_odd; L:Transport/JunctionLaw:reflection_circuit_determinant	formal-checked	uses:holon.orientation-reversing-walk
tube.plateau-balance	tube, constitution	|a|² = |b|² = |c|² = T: a + b + c = 0 ⇔ ⟨a,b⟩ = ⟨a,c⟩ = ⟨b,c⟩ = −T/2; four conormals balance from pairwise sums	Plateau's tension balance at a junction line (120°) and vertex, exact over ℚ	equal tensions	L:Transport/JunctionLaw:three_conormals_balance_iff; L:Transport/JunctionLaw:four_conormals_balance_of_pairwise	formal-checked	instance-of:tube.junction-normal-balance
tube.rankine-hugoniot	tube, constitution	Burgers f(u) = u²/2: s = [[f]]/[[u]] = (u_L + u_R)/2;  Lax admissible (u_R < s < u_L) ⇔ u_R < u_L; an expansion shock violates Lax	the Rankine–Hugoniot jump is the normal balance of a scalar conservation law, with its entropy condition belonging to the (junction, direction) pair	u_R ≠ u_L	L:Transport/JunctionLaw:rankine_hugoniot_speed; L:Transport/JunctionLaw:lax_admissible_iff; L:Transport/JunctionLaw:expansion_shock_violates_lax	formal-checked	instance-of:tube.junction-normal-balance
tube.snell-interface	tube, coholon, constitution	tangential parts equal, |k_i|² = n_i² κ² ⇒ n₁² sin²₁ = n₂² sin²₂;  |tangent|² > n₂² κ² ⇒ no transmitted covector (total reflection)	Snell's law is tangential continuity plus dispersion on rational wave covectors; beyond the critical angle nothing is transmitted	declared rational n², κ²	L:Transport/JunctionLaw:snell_squared; L:Transport/JunctionLaw:no_transmitted_covector_beyond_the_critical_angle; L:Transport/JunctionLaw:totally_reflected_iff	formal-checked	instance-of:tube.junction-tangential-agreement
tube.neck-density	tube	flux A·j = Φ constant, A_i > 0: j_i = Φ/A_i; Φ > 0 and A_k ≤ A_i ⇒ j_i ≤ j_k; Φ < 0 reverses	under a positive constant flux a narrower section carries a faster density; the conclusion is this law under this hypothesis, not a law of tubes	A_i > 0	L:Transport/Neck:density_of_constant_flux; L:Transport/Neck:speedup_of_narrowing; L:Transport/Neck:no_speedup_of_negative_flux	formal-checked	
tube.neck-residual	tube, receipt	residual_i = Φ_(i+1) − Φ_i − σ_i; zero ⇔ station balance; sourceless balance ⇒ constant flux; unmatched source ⇒ nonzero residual	with sources the neck's reading is the residual, not a speed-up		L:Transport/Neck:residual_eq_zero_iff; L:Transport/Neck:flux_constant_of_sourceless_balance; L:Transport/Neck:residual_of_unmatched_source	formal-checked	
tube.etendue-survives-focus	tube, receipt	ray transfer M ∈ ℚ^(2×2), det M = 1, B = M₀₁ = 0: transverse extent 0, angular extent > 0, phase area unchanged; phaseArea(MN) composes; reduced étendue across an interface scales by n₁/n₂	at a focus the bundle is a point at the receiver's grain while plural inside, and étendue survives	exact rational ray matrices	L:Transport/Neck:etendue_survives_the_focus; L:Transport/Neck:focus_has_zero_extent; L:Transport/Neck:phaseArea_comp; L:Transport/Neck:reducedEtendue_interface; L:Transport/Neck:phaseArea_unmoved_at_the_focus	formal-checked	
tube.frame-compatibility	tube, navigator, complex	R(s,t) ∈ SO(3), K = R⁻¹∂_sR, W = R⁻¹∂_tR: ∂_tK − ∂_sW + [W, K] = 0	a framed filament's bending/twist and temporal rotation satisfy the zero-curvature compatibility (not a force equation)	twice differentiable invertible frame	D:docs/FORMAL_FRAMEWORK.md#twist-curvature-and-phase-keep-their-different-meanings	proved-derived	uses:curvature.gauge-covariance
tube.twist-torsion-distinct	tube, complex	material twist, Frenet torsion, Cartan torsion, curvature/holonomy and integral-cokernel torsion are five different constructions	twist, curvature and phase keep their different meanings; a connection alone does not identify them	definition	D:docs/FORMAL_FRAMEWORK.md#twist-curvature-and-phase-keep-their-different-meanings	definition	
globe.membrane-face-gauge-free	globe, coholon, complex	S bounds ⇒ ⟨dφ, S⟩ = 0  and  face_S(ω + dφ) = face_S(ω)	exact coholons read zero on a bounding membrane, so the membrane face is gauge free (uses ∂∂=0)	membrane S with ∂S bounding the interior chain	L:Objects/Membrane:membraneFace_exact_eq_zero; L:Objects/Membrane:membraneFace_gauge	formal-checked	uses:complex.boundary-squared
globe.tube-membrane-not-gauge-free	tube, globe, coholon	face_lateral(0 + d(proj₁)) ≠ face_lateral(0)  (moves by 1)	a lateral tube membrane does not return a gauge-free datum; only a bounding membrane does	tube witness	L:Objects/Membrane:tube_face_is_not_gauge_free	counterexample	obstructs:globe.membrane-face-gauge-free
globe.linear-globe-datum-is-membrane-face	globe, coholon, receiver	massC v = face_S(edgeField v) = ⟨d(edgeField v), interiorChain⟩	the quarter-turn globe's boundary datum β is the membrane face of its edge cochain	linear globe witness	L:Objects/Membrane:linearGlobe_boundary_is_membrane_face	formal-checked	uses:globe.membrane-face-gauge-free
globe.relative-completeness	globe, receiver, tube	RelativelyComplete(Ω, S) := Coupled ∧ NotDetermined ∧ ∂(interiorChain) = S	a region is relatively complete for a receiver family when its boundary datum is coupled to the interior, the interior is not determined by the boundary history (persistent recurrent motion in every fibre), and the membrane bounds the interior	declared receiver family R∘β, β = Prod.snd	L:Objects/RelativeCompleteness:RelativelyComplete; L:Objects/RelativeCompleteness:Coupled; L:Objects/RelativeCompleteness:NotDetermined; L:Objects/RelativeCompleteness:BoundsInterior; D:docs/ELEMENTARY_OBJECTS.md#7-relative-completeness-globe	definition	
globe.persistent-motion	globe, navigator	PersistentMotion(x,y): ∀ word, ∃ g, step_g moves the difference; ∃ nonempty word returning it exactly;  one additive transport: ⇔ ∃n>0, Eⁿd = d ∧ Ed ≠ d	persistence is exact recurrence of the fibre difference (a discrete Poincaré recurrence); a periodic moving point never reaches a fixed point	agent-inferred; quasi-periodic interiors excluded (open)	L:Objects/RelativeCompleteness:PersistentMotion; L:Objects/RelativeCompleteness:ofAdditive_persistent_iff; L:Objects/RelativeCompleteness:periodic_moves_forever	formal-checked	uses:globe.relative-completeness
globe.fibre-nontrivial	globe, receiver	NotDetermined ⇒ ∀ admitted x, ∃ y ≠ x, Agree(x,y)	clause 2 makes every admitted fibre nontrivial: the exterior receivers do not separate the region's states		L:Objects/RelativeCompleteness:NotDetermined.fibre_nontrivial	formal-checked	uses:globe.relative-completeness
globe.receiver-relativity	globe, receiver	fine refines coarse ⇒ (NotDetermined_fine ⇒ NotDetermined_coarse) ∧ (Coupled_coarse ⇒ Coupled_fine)	refining the receivers can only remove non-determination and only add coupling: completeness is relative to the receiver family	same dynamics and admitted states	L:Objects/RelativeCompleteness:Refines.notDetermined; L:Objects/RelativeCompleteness:Refines.coupled; L:Objects/RelativeCompleteness:Refines.agree	formal-checked	uses:globe.relative-completeness
globe.additive-fibre-coset	globe, receiver, compression	Agree(x,y) ⇔ y − x ∈ futureCollapsed(outwardRead, transport)	in the additive chart a boundary-history fibre is a coset of the future-blind population	additive transports and receivers	L:Objects/RelativeCompleteness:ofAdditive_agree_iff; L:Objects/RelativeCompleteness:transportWord_sub	formal-checked	uses:compression.kernel
globe.observability-kernel	globe, receiver, compression	𝒩(A,C) = ⋂_k ker(C Aᵏ): A-invariant, ⊆ ker C, greatest A-invariant subspace of ker C; 𝒩 = ⊤ ⇔ C = 0;  finite dim: 𝒩 = ⋂_(k<dim) ker(C Aᵏ)	the unobservable subspace is the part of the outward radical silent after every history; a horizon of dim I suffices (Cayley–Hamilton)	linear maps over a field	L:Objects/RelativeCompleteness:observabilityKernel; L:Objects/RelativeCompleteness:observabilityKernel_greatest; L:Objects/RelativeCompleteness:observabilityKernel_invariant; L:Objects/RelativeCompleteness:observabilityKernel_eq_horizonKernel_finrank; L:Objects/RelativeCompleteness:observabilityKernel_eq_top_iff	formal-checked	specializes:compression.kernel
globe.block-criterion	globe, receiver	[x_int; x_bd]' = [[A,B],[C,D]][x_int; x_bd], step 1+M: future-blind = {(u,0) | u ∈ 𝒩(A,C)} ∀B,D;  Coupled ⇔ C ≠ 0;  NotDetermined ⇔ ∃u ∈ 𝒩(A,C), Au ≠ 0, (1+A)ⁿu = u, n>0	the linear criterion for relative completeness: coupling is a nonzero outward block; non-determination is a moving recurrent unobservable interior vector	unit-clock Euler step, read on the full boundary datum	L:Objects/RelativeCompleteness:mem_blockCollapsed_iff; L:Objects/RelativeCompleteness:block_coupled_iff; L:Objects/RelativeCompleteness:block_notDetermined_iff; L:Objects/RelativeCompleteness:block_agree_iff; L:Objects/RelativeCompleteness:blockStep_iterate_kernel	formal-checked	uses:globe.observability-kernel
globe.unobservable-is-lawful-silence	globe, tube, receiver	current ∈ 𝒩(A,C), current ≠ 0 ⇒ WorldTube.IsLawfulSilence ∧ ∀k C(Aᵏ current) = 0	a nonzero unobservable interior current is lawful silence for the world tube's outward receiver C	outward receiver C	L:Objects/RelativeCompleteness:observabilityKernel_lawfulSilence	formal-checked	uses:tube.world-tube-lawful-silence
globe.bounding-membrane-closed	globe, complex, coholon	∂(interiorChain) = S ⇒ ∂S = 0;  ∂S = 0 ⇔ ∀φ ⟨dφ, S⟩ = 0	a bounding membrane is closed, and closed means no exact flux escapes	chain complex over a field	L:Objects/RelativeCompleteness:Bounds.closed; L:Objects/RelativeCompleteness:closed_iff_no_exact_flux	formal-checked	uses:holon.stokes
globe.linear-globe	globe, parametron, receiver	interior (x,y,m), (1+A)(x,y,m) = (−y,x,m), (1+A)⁴ = 1, C = m;  𝒩 = {m = 0}	a quarter-turning pair read only through a conserved mass is relatively complete (Birkhoff type)	ℚ	L:Objects/RelativeCompleteness:linearGlobe_relativelyComplete; L:Objects/RelativeCompleteness:quarter_pow_four; L:Objects/RelativeCompleteness:mass_observabilityKernel_iff	formal-checked	instance-of:globe.block-criterion
globe.birkhoff-globe	globe, receiver	quarter turn (x,y) ↦ (−y,x) read only through planeEnergy; energies 1 and 4 separate; partner q(p) − p turns with period 4	the nonlinear Birkhoff globe is relatively complete: coupled through a conserved charge, not determined by it	nonvacuum states over ℚ	L:Objects/RelativeCompleteness:birkhoffGlobe_relativelyComplete; L:Objects/RelativeCompleteness:birkhoffGlobe_diff; L:Objects/RelativeCompleteness:iterate_quarter_energy	formal-checked	instance-of:globe.relative-completeness
globe.cold-lattice-and-quench-fail	globe	A = 0: coupled, nothing moves;  A = −1: coupled, (1,0,0) ∈ 𝒩, but (1+A) = 0 quenches the interior	a cold lattice and a quench fail non-determination: a fibre that does not persist is not motion	mass receiver	L:Objects/RelativeCompleteness:coldLattice_fails; L:Objects/RelativeCompleteness:quench_fails	counterexample	obstructs:globe.relative-completeness
globe.ricci-decay-fails	globe	triangle Ricci flow at τ=1/6 read by its conserved total: (1+A)u = u/2 on total-free u; (1,−1,0) ∈ 𝒩 moves but contracts	a decaying (Ricci-type) fibre fails clause 2: nonzero and moving, but never recurrent		L:Objects/RelativeCompleteness:ricci_fails; L:Objects/RelativeCompleteness:ricci_step_halves	counterexample	obstructs:globe.relative-completeness
globe.observable-and-sealed-fail	globe	C = x + m on the quarter globe: 𝒩 = 0, not NotDetermined;  C = 0: not Coupled	a fully observable interior fails clause 2 and a sealed interior fails clause 1	ℚ	L:Objects/RelativeCompleteness:fullyObservable_fails; L:Objects/RelativeCompleteness:sealedInterior_not_coupled	counterexample	obstructs:globe.relative-completeness
globe.tube-and-hollow-fail-bounds	globe, tube, complex	lateral strip e₀−e₂: ⟨d proj₁, S⟩ = 1, not bounding;  hollow loop: closed, bounds nothing	an open tube and a hollow cycle fail clause 3	square complex witnesses	L:Objects/RelativeCompleteness:tubeMembrane_escapes; L:Objects/RelativeCompleteness:hollowMembrane_closed_not_bounds; L:Objects/RelativeCompleteness:globeMembrane_boundsInterior	counterexample	obstructs:globe.relative-completeness
globe.relativity-witness	globe, receiver	same dynamics and membrane: complete for the mass channel w₁' = m alone, not complete once w₂' = x is read	refining the receiver removes completeness	two-channel witness	L:Objects/RelativeCompleteness:relativity_witness; L:Objects/RelativeCompleteness:fine_refines_coarse	counterexample	instance-of:globe.receiver-relativity
deposition.law	deposition, constitution	Θ'_e = Θ_e + Γ_e(j_e, (dφ)_e),  j = Θ·dφ (edgewise),  Γ_e reads only edge e	deposition changes an edge's conductance from the flux and drop that actually reached that edge	finite graph, node×edge incidence d, Θ_e>0 kept positive by Γ	L:Objects/Deposition:deposit; L:Objects/Deposition:DepositionLaw; D:docs/ELEMENTARY_OBJECTS.md#8-deposition	definition	
deposition.balance-is-junction-law	deposition, constitution, complex	Solves(d,Θ,φ,σ) ⇔ dᵀ(Θ·dφ) = σ ⇔ JunctionLaw.Balanced(complexOf d Θ, I, dφ, σ)	the constitutive solve is the normal half of the junction law, for every interface split	finite graph, rational Θ>0	L:Objects/Deposition:solves_iff_boundary_flux; L:Objects/Deposition:solves_iff_balanced; L:Objects/Deposition:codiff_mulVec	formal-checked	uses:tube.junction-normal-balance
deposition.solve-is-laplacian	deposition, constitution	Solves(d,Θ,φ,σ) ⇔ L φ = σ,  L = dᵀ diag(Θ) d	the balance is the conductance-Laplacian equation	finite graph	L:Objects/Membrane:solves_iff_laplacian; L:Objects/Membrane:laplacian	formal-checked	equiv:deposition.balance-is-junction-law
deposition.flux-unique	deposition, constitution, coholon	Solves(φ,σ) ∧ Solves(φ',σ) ⇒ dφ = dφ' ∧ Θ·dφ = Θ·dφ'	the flux is a function of constitution and source alone; the potential's gauge is not carried by the flux	Θ>0 edgewise	L:Objects/Deposition:drop_unique; L:Objects/Deposition:flux_unique; L:Objects/Deposition:deposit_eq_of_solves	formal-checked	uses:deposition.joule-ledger
